airport_code,airport_name,city,coordinates,timezone
YKS,"Yakutsk Airport",Yakutsk,"(129.77099609375,62.093299865722656)",Asia/Yakutsk
MJZ,"Mirny Airport",Mirnyj,"(114.03900146484375,62.534698486328125)",Asia/Yakutsk
KHV,"Khabarovsk-Novy Airport",Khabarovsk,"(135.18800354004,48.52799987793)",Asia/Vladivostok
PKC,"Yelizovo Airport",Petropavlovsk,"(158.45399475097656,53.16790008544922)",Asia/Kamchatka
UUS,"Yuzhno-Sakhalinsk Airport",Yuzhno-Sakhalinsk,"(142.71800231933594,46.88869857788086)",Asia/Sakhalin
VVO,"Vladivostok International Airport",Vladivostok,"(132.1479949951172,43.39899826049805)",Asia/Vladivostok
LED,"Pulkovo Airport","St. Petersburg","(30.262500762939453,59.80030059814453)",Europe/Moscow
KGD,"Khrabrovo Airport",Kaliningrad,"(20.592599868774414,54.88999938964844)",Europe/Kaliningrad
KEJ,"Kemerovo Airport",Kemorovo,"(86.1072006225586,55.27009963989258)",Asia/Novokuznetsk
CEK,"Chelyabinsk Balandino Airport",Chelyabinsk,"(61.5033,55.305801)",Asia/Yekaterinburg
MQF,"Magnitogorsk International Airport",Magnetiogorsk,"(58.755699157714844,53.39310073852539)",Asia/Yekaterinburg
PEE,"Bolshoye Savino Airport",Perm,"(56.021198272705,57.914501190186)",Asia/Yekaterinburg
SGC,"Surgut Airport",Surgut,"(73.40180206298828,61.34370040893555)",Asia/Yekaterinburg
BZK,"Bryansk Airport",Bryansk,"(34.176399231,53.214199066199996)",Europe/Moscow
MRV,"Mineralnyye Vody Airport","Mineralnye Vody","(43.08190155029297,44.225101470947266)",Europe/Moscow
STW,"Stavropol Shpakovskoye Airport",Stavropol,"(42.11280059814453,45.10919952392578)",Europe/Moscow
ASF,"Astrakhan Airport",Astrakhan,"(48.0063018799,46.2832984924)",Europe/Samara
NJC,"Nizhnevartovsk Airport",Nizhnevartovsk,"(76.48359680175781,60.94929885864258)",Asia/Yekaterinburg
SVX,"Koltsovo Airport",Yekaterinburg,"(60.802700042725,56.743099212646)",Asia/Yekaterinburg
SVO,"Sheremetyevo International Airport",Moscow,"(37.4146,55.972599)",Europe/Moscow
VOZ,"Voronezh International Airport",Voronezh,"(39.22959899902344,51.81420135498047)",Europe/Moscow
VKO,"Vnukovo International Airport",Moscow,"(37.2615013123,55.5914993286)",Europe/Moscow
SCW,"Syktyvkar Airport",Syktyvkar,"(50.84510040283203,61.64699935913086)",Europe/Moscow
KUF,"Kurumoch International Airport",Samara,"(50.16429901123,53.504901885986)",Europe/Samara
DME,"Domodedovo International Airport",Moscow,"(37.90629959106445,55.40879821777344)",Europe/Moscow
TJM,"Roshchino International Airport",Tyumen,"(65.3243026733,57.189601898199996)",Asia/Yekaterinburg
GOJ,"Nizhny Novgorod Strigino International Airport","Nizhniy Novgorod","(43.784000396729,56.230098724365)",Europe/Moscow
TOF,"Bogashevo Airport",Tomsk,"(85.208297729492,56.380298614502)",Asia/Krasnoyarsk
UIK,"Ust-Ilimsk Airport","Ust Ilimsk","(102.56500244140625,58.13610076904297)",Asia/Irkutsk
